date,incid_hosp
2021-07-03,0.0
2021-07-04,0.0
2021-07-05,0.0
2021-07-06,1.0
2021-07-07,0.0
2021-07-08,0.0
2021-07-09,1.0
2021-07-10,4.0
2021-07-11,0.0
2021-07-12,0.0
2021-07-13,11.0
2021-07-14,0.0
2021-07-15,1.0
2021-07-16,0.0
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,0.0
2021-07-20,1.0
2021-07-21,0.0
2021-07-22,0.0
2021-07-23,2.0
2021-07-24,0.0
2021-07-25,0.0
2021-07-26,4.0
2021-07-27,0.0
2021-07-28,1.0
2021-07-29,2.0
2021-07-30,2.0
2021-07-31,0.0
2021-08-01,0.0
2021-08-02,1.0
2021-08-03,12.0
2021-08-04,0.0
2021-08-05,3.0
2021-08-06,5.0
2021-08-07,1.0
2021-08-08,0.0
2021-08-09,5.0
2021-08-10,3.0
2021-08-11,3.0
2021-08-12,2.0
2021-08-13,10.0
2021-08-14,0.0
2021-08-15,0.0
2021-08-16,0.0
2021-08-17,7.0
2021-08-18,4.0
2021-08-19,0.0
2021-08-20,2.0
2021-08-21,15.0
2021-08-22,8.0
2021-08-23,0.0
2021-08-24,7.0
2021-08-25,7.0
2021-08-26,2.0
2021-08-27,3.0
2021-08-28,5.0
2021-08-29,0.0
2021-08-30,0.0
2021-08-31,1.0
2021-09-01,0.0
2021-09-02,2.0
2021-09-03,2.0
2021-09-04,0.0
2021-09-05,0.0
2021-09-06,0.0
2021-09-07,5.0
2021-09-08,0.0
2021-09-09,4.0
2021-09-10,2.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,3.0
2021-09-14,1.0
2021-09-15,2.0
2021-09-16,1.0
2021-09-17,3.0
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,5.0
2021-09-21,5.0
2021-09-22,1.0
2021-09-23,0.0
2021-09-24,2.0
2021-09-25,1.0
2021-09-26,0.0
2021-09-27,0.0
2021-09-28,2.0
2021-09-29,1.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,1.0
2021-10-06,0.0
2021-10-07,1.0
2021-10-08,1.0
2021-10-09,0.0
